id,INFA,CAL,VEFN,VNG,RALA,RAST,COL,COLL,STAE,TUA,STATL,LABL,LABW,CLL,STAL,STAW,ANL,ANW,STIW,STYL,VFN,FNSC,EFNSC,F1parent
20_134,55,5.24,1,1,-,-,49.4,29.9,-2.9,24,7.6,57,24.8,3.8,54.1,9.3,6.3,2.2,2.9,43.8,-,-,-,62
20_138,84.6666666666667,4.38333333333333,1,0,-,-,46.44,27.74,-4.1,15.2,6.42,54.36,23.68,4.7,50.34,9.72,6.52,3,3.12,41.12,38.27,35.3,7.56,62
20_139,37.25,5.65,-,1,-,-,41.9,27.9666666666667,-0.9,18.3333333333333,7.66666666666667,48.9,21.1666666666667,6.76666666666667,48,8.03333333333333,5.56666666666667,2.76666666666667,2.63333333333333,36.8666666666667,29.096,30.7,0.3,62
20_143,23,2.4,1,1,-,-,47,29.45,-4.2,21.5,7.05,56.65,26.2,6.9,52.45,9.45,6.55,2.8,3.15,41.4,38.31,31.125,6.8,62
20_145,42.25,4.825,0,0,0,0,40.975,30.9,-1,26.25,7.025,49.2,23.75,5.425,48.2,9.275,6.65,2.675,2.85,34.875,16.6625,30.25,0,62
20_148,32.75,5.175,0,0,0,0,44.225,25.325,-1.625,20.75,6.15,55.225,25.275,5.6,53.6,8.65,6.825,2.55,2.875,38.775,26.3175,30,0.25,62
20_149,30,6.27,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62
20_151,60,4.26,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47.14,25,1.2,62
20_154,40.5,4.735,1,0,-,-,45.075,28.375,-2.7,18,8.05,52.275,30.325,6.925,49.575,10.675,7.225,2.9,2.8,39.175,46.2633333333333,32.25,3.83333333333333,62
20_155,45.5,5.135,1,1,-,-,45.62,29.38,-2.84,19.4,5.44,52.96,25.56,6.4,50.12,9.94,6.54,2.34,3.16,43.92,46.805,28.6666666666667,6.26666666666667,62
20_161,50,6.19,1,1,88.2,11.6,44.6,28.4,-1.3,30,6.9,51.7,25.2,6.3,50.4,9.1,7.4,2.9,3,41.1,33.5766666666667,29.5,7.66666666666667,62
20_163,32.25,4.625,-,1,53.5666666666667,4.83333333333333,46.525,27.175,1.75,17.75,6.925,54.7,21.675,3.875,56.45,7.575,7,3.075,2.5,37.85,27.07,26.5,0.4375,62
20_167,57,4.03,1,0,-,-,43.4,28.46,-2.9,24.4,6.94,50.38,26.72,6.16,47.48,10.08,7.26,3.3,3.1,39.06,29.0433333333333,32.6666666666667,4.26666666666667,62
21_068,37,4.87,1,0,-,-,42,28.7,-2,23,5.75,48.75,20.25,7.1,46.75,8.45,6.45,3.15,2.65,38.45,34.358,24.4,1.96,62
21_108,30,4.86,1,1,35.1,3.9,42,24.8,1,22,6.6,47.8,20.3,4.5,48.8,8.3,6.4,2.5,2.6,38.9,21.605,25,6.7,62
21_110,18,4.21,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.98,30.125,2.75,62
21_112,63,4.26,1,1,-,-,44.1,29.55,-0.75,16,7.4,52,28.1,7.95,51.25,10.15,6.85,2.85,2.75,43.65,53.9433333333333,32.1666666666667,5.33333333333333,62
