#1_usercol	2_usercol	3_usercol	4_pct_at	5_pct_gc	6_num_A	7_num_C	8_num_G	9_num_T	10_num_N	11_num_oth	12_seq_len
Chrom2	75800000	75900000	0.581620	0.418380	29993	21642	20196	28169	0	0	100000
Chrom2	75900000	76000000	0.605010	0.394990	29776	19279	20220	30725	0	0	100000
Chrom2	76000000	76100000	0.613260	0.386740	30962	19329	19345	30364	0	0	100000
Chrom2	76100000	76200000	0.595000	0.405000	29942	21169	19331	29558	0	0	100000
Chrom2	76200000	76300000	0.598120	0.401880	30056	20051	20137	29756	0	0	100000
Chrom2	76300000	76400000	0.612680	0.387320	30022	19265	19467	31246	0	0	100000
Chrom2	76400000	76500000	0.623610	0.376390	31043	18901	18738	31318	0	0	100000
Chrom2	76500000	76600000	0.595490	0.404510	29593	19630	20821	29956	0	0	100000
Chrom2	76600000	76700000	0.636370	0.363630	32021	18715	17648	31616	0	0	100000
Chrom2	76700000	76800000	0.614670	0.385330	30888	18699	19834	30579	0	0	100000
Chrom2	76800000	76900000	0.616860	0.383140	31145	19788	18526	30541	0	0	100000
Chrom2	76900000	77000000	0.600480	0.399520	30412	19307	20645	29636	0	0	100000
Chrom2	77000000	77100000	0.605960	0.394040	30403	18890	20514	30193	0	0	100000
Chrom2	77100000	77200000	0.599270	0.400730	30504	19923	20150	29423	0	0	100000
Chrom2	77200000	77300000	0.625240	0.374760	32043	18872	18604	30481	0	0	100000
Chrom2	77300000	77400000	0.590000	0.410000	29290	19673	21327	29710	0	0	100000
Chrom2	77400000	77500000	0.602210	0.397790	29838	19477	20302	30383	0	0	100000
Chrom2	77500000	77600000	0.572910	0.427090	28371	22558	20151	28920	0	0	100000
Chrom2	77600000	77700000	0.598570	0.401430	30883	20503	19640	28974	0	0	100000
Chrom2	77700000	77800000	0.612800	0.387200	30102	18407	20313	31178	0	0	100000
Chrom2	77800000	77900000	0.609730	0.390270	31422	20304	18723	29551	0	0	100000
Chrom2	77900000	78000000	0.614740	0.385260	30663	19025	19501	30811	0	0	100000
Chrom2	78000000	78100000	0.585560	0.414440	29752	21732	19712	28804	0	0	100000
Chrom2	78100000	78200000	0.577830	0.422170	29804	21020	21197	27979	0	0	100000
Chrom2	78200000	78300000	0.578840	0.421160	28070	21569	20547	29814	0	0	100000
Chrom2	78300000	78400000	0.603340	0.396660	30370	19589	20077	29964	0	0	100000
Chrom2	78400000	78500000	0.598580	0.401420	29818	20381	19761	30040	0	0	100000
Chrom2	78500000	78600000	0.612190	0.387810	31193	20289	18492	30026	0	0	100000
Chrom2	78600000	78700000	0.606590	0.393410	30602	20284	19057	30057	0	0	100000
Chrom2	78700000	78800000	0.617820	0.382180	30685	18934	19284	31097	0	0	100000
Chrom2	78800000	78900000	0.593050	0.406950	29700	19596	21099	29605	0	0	100000
Chrom2	78900000	79000000	0.590270	0.409730	29684	19900	21073	29343	0	0	100000
Chrom2	79000000	79100000	0.615100	0.384900	30594	19751	18739	30916	0	0	100000
Chrom2	79100000	79200000	0.611520	0.388480	30812	19812	19036	30340	0	0	100000
Chrom2	79200000	79300000	0.599000	0.401000	30700	21100	19000	29200	0	0	100000
Chrom2	79300000	79400000	0.595830	0.404170	29960	19772	20645	29623	0	0	100000
Chrom2	79400000	79500000	0.598620	0.401380	30169	20328	19810	29693	0	0	100000
Chrom2	79500000	79600000	0.595020	0.404980	29433	20028	20470	30069	0	0	100000
Chrom2	79600000	79700000	0.618610	0.381390	31487	19347	18792	30374	0	0	100000
Chrom2	79700000	79800000	0.628070	0.371930	32133	18422	18771	30674	0	0	100000
Chrom2	79800000	79900000	0.601200	0.398800	30149	19751	20129	29971	0	0	100000
Chrom2	79900000	80000000	0.610990	0.389010	31165	19777	19124	29934	0	0	100000
Chrom2	80000000	80100000	0.596110	0.403890	29808	21365	19024	29803	0	0	100000
Chrom2	80100000	80200000	0.607010	0.392990	30018	19598	19701	30683	0	0	100000
Chrom2	80200000	80300000	0.598110	0.401890	29711	20484	19705	30100	0	0	100000
Chrom2	80300000	80400000	0.601880	0.398120	30190	20275	19537	29998	0	0	100000
