unique_ID,INFA,CAL,VEFN,VNG,RALA,RAST,COL,COLL,STAE,TUA,STATL,LABL,LABW,CLL,STAL,STAW,ANL,ANW,STIW,STYL,VFN,FNSC,EFNSC
62_96,40.6,5.554,TRUE,FALSE,0.5,0.1,40.85,27.6,-3.425,21.75,4.375,48.175,23.55,5.125,44.75,8.75,7.075,2.5,2.725,34.875,11.734,29.8,3.3140764
62_97,120.5,5.93,TRUE,FALSE,20.6,1.2,46.06,27.84,-1.34,32.6,7.58,53.14,31.72,9.22,51.8,10.24,7.26,2.66,3.06,44.22,36.166,33.9,11.5624968
62_99,35,5.9,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F1_39,24.3333333333333,5.625,TRUE,TRUE,82.35,7.45,50.475,31.5,-4.85,32.75,6.475,59.125,26.95,4.95,54.275,9.525,6.5,3.15,3.025,43.85,23.9483333333333,35.6666666666667,1.34518
F1_62,69,NA,NA,NA,NA,NA,44.6,30.3,-2.5,17,6.9,51.9,25.1,7.15,49.4,9,6.7,3,3.1,39.7,NA,NA,NA
P_125,26.75,2.95,TRUE,FALSE,0,0,35.175,21.7,3.225,44,3.75,37.95,13.925,3.675,41.175,6.675,4.8,2.45,2.225,30.35,16.33,27,1.2671025
P_126,32.5,3.85,TRUE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3,26.625,1.137975
P_950,173.5,4.6,TRUE,TRUE,NA,NA,68.6,50.4,-10.8,193.5,13.55,75.35,43.7,6.95,63.4,12.3,8.25,3.45,4.05,53.65,45.7383333333333,38,5.76791733333333
39_129,NA,NA,NA,NA,0.012,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0975,22.5,0
39_136,NA,NA,NA,NA,0,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39_15,NA,NA,NA,NA,111.5,8.1,43.15,25,-5.775,18.25,7.275,58.225,24.425,7.475,52.45,9.725,6.7,2.925,3.35,42.825,9.555,34.125,1.254492
39_38,NA,NA,NA,NA,1.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39_51,NA,NA,NA,NA,67.6,8.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.158,30.9,2.9201112
39_53,NA,NA,NA,NA,109.5,10.2,48.5,32,-2.1,24,9.5,54.1,25,6.4,52,9.2,6.7,2.5,3.1,41.3,14.219,26.7,4.7585064
39_89,NA,NA,NA,NA,136.8,16.6666666666667,51.825,34.25,-4.675,14.75,10.4,61.175,30.675,5.8,56.55,10.525,6.425,3.125,2.775,44.075,19.96,33.1,8.1050944
62_142,NA,NA,NA,NA,16.3,2.4,45.4,30.1,-1.2,26,4.1,52.1,19,2.8,50.9,8.5,6,3.6,3.2,40.8,NA,NA,NA
62_315,NA,NA,NA,NA,133.5,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8175,31.25,0.40198
62_337,NA,NA,NA,NA,0,0,45.55,28.225,-2.325,17.5,7.425,51.625,22.65,6,49.7,9.475,6.825,3.15,3,39.45,19.958125,34.6875,1.707891
62_352,NA,NA,NA,NA,115.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62_84,NA,NA,NA,NA,1.1,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39_103,NA,NA,NA,NA,NA,NA,45.4,25.3,-1.2,31,6.5,50.4,20.4,3.7,48.8,8.7,5.9,2.5,2.9,41.3,NA,NA,NA
39_109,NA,NA,NA,NA,NA,NA,46.675,28.325,-2.975,22.5,7.25,55.025,25.6,6.525,52.1,9.5,6.45,2.25,2.825,44.15,11.64875,33.625,0.70939
39_111,NA,NA,NA,NA,NA,NA,40.8,24,-4.1,25,5.6,49.7,20.3,3.5,45.6,8.8,6.8,3.5,3.3,39.8,NA,NA,NA
39_12,NA,NA,NA,NA,NA,NA,50.475,29.575,-2.475,15,8.15,59.25,26.875,5.725,57.025,10.1,6.35,3.125,3.1,46.3,18.801,35,0.160792
39_126,NA,NA,NA,NA,NA,NA,46.6,27.4,-3.1,24,9.4,57.5,29.9,3.3,54.4,9.9,6.5,2.6,2.8,41.4,33.2,29,0
39_32,NA,NA,NA,NA,NA,NA,43.3,28.2,-0.2,NA,9.5,49.4,16.3,4.7,49.2,9.3,6.1,2.7,2.8,38.4,12.5575,30.1666666666667,1.15628
39_52,NA,NA,NA,NA,NA,NA,47.7,28.5,-2.4,19,9,55.6,25.3,3.4,53.2,9.5,6.4,2.4,2.9,42,21.515,28.5,8.577082
39_56,NA,NA,NA,NA,NA,NA,46.9,29.55,-0.325,27.25,7.45,50.875,23.325,5.625,50.55,9.45,5.8,3.175,2.725,43.15,10.1875,22.8333333333333,0.875938
39_63,NA,NA,NA,NA,NA,NA,47.3,31.2,-2.7,4,7.9,57,30,4.2,54.3,9.2,7.8,3.2,3.4,43.8,NA,NA,NA
39_81,NA,NA,NA,NA,NA,NA,48.6,25.8,-4.36666666666667,22,6.33333333333333,56.8666666666667,20.4666666666667,6.73333333333333,53.4,8.26666666666667,6.46666666666667,2.9,2.8,36.7,15.21625,33.875,2.308362
39_86,NA,NA,NA,NA,NA,NA,48.625,31.4,-2.275,25.5,8.85,57.125,27.5,4.9,54.85,9.275,6.725,2.85,3.375,46.35,NA,NA,NA
62_108,NA,NA,NA,NA,NA,NA,43.25,27.05,-3.05,19.5,7.5,53.95,22.1,6.35,50.9,9.25,6.55,2.85,2.6,36.3,NA,NA,NA
